MAT,MAP,AI,BD,sand,clay,SOC,CN,pH,soil.biodiversity,MBC,FBratio,rryield,rrSOC,rrN2O,rrCH4,rrMWD
12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,,0.05487661,,,
12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,,0.020305266,,,
12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,,0.059719235,,,
12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,,-0.025975486,,,
12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,,-0.015504187,,,
12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,,0.015267472,,,
12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,,0.092976456,,,
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,-0.160550702
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.206741833
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.009523882
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.150727191
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.014252023
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,-0.138327565
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,-0.100587237
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.326028277
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.362114667
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.176242511
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.179286653
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.344234242
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.218039639
12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,,,,,0.294025546
26.94166565,745,0.3377,1.506,52.5,26.5,6,8.631043832,8.2,0.677484393,101.3389969,3.477063894,,,,,0.387765531
