"","ID","study","richness","yi","vi","Weight","variable"
"1","33","4",1,0.039857674,0.008592715,13.0190333132034,"Yield"
"2","34","4",1,0.016430541,0.008592715,13.0190333132034,"Yield"
"3","35","4",1,0.066982821,0.008592715,13.0190333132034,"Yield"
"4","36","4",1,-0.006042314,0.008592715,13.0190333132034,"Yield"
"5","37","4",1,0.062748516,0.008592715,13.0190333132034,"Yield"
"6","38","4",1,0.025280157,0.008592715,13.0190333132034,"Yield"
"7","39","4",1,-0.013646914,0.008592715,13.0190333132034,"Yield"
"8","40","4",1,-0.025582791,0.008592715,13.0190333132034,"Yield"
"9","41","4",1,0.001147447,0.008592715,13.0190333132034,"Yield"
"10","42","4",1,0.047093904,0.008592715,13.0190333132034,"Yield"
"11","43","4",1,0.116889666,0.008592715,13.0190333132034,"Yield"
"12","44","4",1,0.158895841,0.008592715,13.0190333132034,"Yield"
"13","45","4",1,0.107654095,0.008592715,13.0190333132034,"Yield"
"14","46","4",1,0.021579486,0.008592715,13.0190333132034,"Yield"
"15","47","4",1,0.003039516,0.008592715,13.0190333132034,"Yield"
"16","48","4",1,0.016604155,0.008592715,13.0190333132034,"Yield"
"17","49","4",1,0.019593694,0.008592715,13.0190333132034,"Yield"
"18","50","4",1,-0.026215842,0.008592715,13.0190333132034,"Yield"
"19","51","4",1,0.066249386,0.008592715,13.0190333132034,"Yield"
"20","52","4",1,0.004555817,0.008592715,13.0190333132034,"Yield"
"21","53","4",1,0.050455805,0.008592715,13.0190333132034,"Yield"
"22","54","4",1,-0.025519726,0.008592715,13.0190333132034,"Yield"
"23","55","4",1,-0.0684306,0.008592715,13.0190333132034,"Yield"
"24","56","4",1,-0.022293917,0.008592715,13.0190333132034,"Yield"
"25","57","4",1,0.03405902,0.008592715,13.0190333132034,"Yield"
"26","58","4",1,0.14760512,0.008592715,13.0190333132034,"Yield"
"27","59","4",1,0.044657151,0.008592715,13.0190333132034,"Yield"
"28","60","4",1,0.009404458,0.008592715,13.0190333132034,"Yield"
"29","61","4",1,0.01944956,0.008592715,13.0190333132034,"Yield"
"30","62","4",1,0.001635323,0.008592715,13.0190333132034,"Yield"
"31","63","4",1,-0.014839514,0.008592715,13.0190333132034,"Yield"
"32","64","4",1,0.057249335,0.008592715,13.0190333132034,"Yield"
"33","65","4",1,0.171074696,0.008592715,13.0190333132034,"Yield"
