ID,number,author1,year,journal,study,country,continent,longitude,latitude,climate.zone,texture,SOC_categorical,pH_categorical,primary.crop,tillage2,irrigation2,type,rryield,varyield,rrSOC,varSOC,rrN2O,varN2O,rrCH4,varCH4,rrMWD,varMWD
1,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,legume,,,0.05487661,0.003273252,,,,,,
2,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,non-legume,,,0.020305266,0.003273252,,,,,,
3,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,non-legume,,,0.059719235,0.003273252,,,,,,
4,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,-0.025975486,0.003273252,,,,,,
5,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,-0.015504187,0.003273252,,,,,,
6,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,0.015267472,0.003273252,,,,,,
7,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,0.092976456,0.003273252,,,,,,
8,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,legume,,,,,,,,,-0.160550702,0.00824107
9,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,non-legume,,,,,,,,,0.206741833,0.00824107
10,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,non-legume,,,,,,,,,0.009523882,0.00824107
11,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,0.150727191,0.00824107
12,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,0.014252023,0.00824107
13,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,-0.138327565,0.00824107
14,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,-0.100587237,0.00824107
15,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,legume,,,,,,,,,0.326028277,0.00824107
16,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,non-legume,,,,,,,,,0.362114667,0.00824107
17,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,non-legume,,,,,,,,,0.176242511,0.00824107
18,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,0.179286653,0.00824107
19,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,0.344234242,0.00824107
20,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,0.218039639,0.00824107
21,1,Simon,2022,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1,United States,North America,-100.8641667,37.97527778,arid,loam,low,alkaline,wheat,conservation,rainfed,mixture,,,,,,,,,0.294025546,0.00824107
22,2,Mandal,1999,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,2,India,Asia,78.501086,17.34869,arid,clay loam,low,alkaline,rice,conventional,flooding,legume,,,,,,,,,0.387765531,0.010988094
23,2,Mandal,1999,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,2,India,Asia,78.501086,17.34869,arid,clay loam,low,alkaline,rice,conventional,flooding,legume,,,,,,,,,0.322168249,0.010988094
24,2,Mandal,1999,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,2,India,Asia,78.501086,17.34869,arid,clay loam,low,alkaline,rice,conventional,flooding,legume,,,,,,,,,0.120627988,0.010988094
25,2,Mandal,1999,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,2,India,Asia,78.501086,17.34869,arid,clay loam,low,alkaline,rice,conventional,flooding,legume,,,,,,,,,0.09763847,0.010988094
26,3,Thapa,2022,GEODERMA,3,United States,North America,-103.2,34.58333333,arid,clay loam,low,alkaline,wheat,conservation,irrigated,legume,,,-0.002077475,0.004364336,,,,,,
27,3,Thapa,2022,GEODERMA,3,United States,North America,-103.2,34.58333333,arid,clay loam,low,alkaline,wheat,conservation,irrigated,non-legume,,,-0.072085318,0.004364336,,,,,,
28,3,Thapa,2022,GEODERMA,3,United States,North America,-103.2,34.58333333,arid,clay loam,low,alkaline,wheat,conservation,irrigated,non-legume,,,-0.084015629,0.004364336,,,,,,
29,3,Thapa,2022,GEODERMA,3,United States,North America,-103.2,34.58333333,arid,clay loam,low,alkaline,wheat,conservation,irrigated,mixture,,,0.014023501,0.004364336,,,,,,
30,3,Thapa,2022,GEODERMA,3,United States,North America,-103.2,34.58333333,arid,clay loam,low,alkaline,wheat,conservation,irrigated,mixture,,,-0.007621601,0.004364336,,,,,,
31,3,Thapa,2022,GEODERMA,3,United States,North America,-103.2,34.58333333,arid,clay loam,low,alkaline,wheat,conservation,irrigated,mixture,,,-0.058254735,0.004364336,,,,,,
32,3,Thapa,2022,GEODERMA,3,United States,North America,-103.2,34.58333333,arid,clay loam,low,alkaline,wheat,conservation,irrigated,mixture,,,0.087289735,0.004364336,,,,,,
33,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,alkaline,other,conventional,rainfed,non-legume,0.039857674,0.008592715,,,,,,,,
34,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,alkaline,other,conventional,rainfed,non-legume,0.016430541,0.008592715,,,,,,,,
35,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,alkaline,other,conventional,rainfed,legume,0.066982821,0.008592715,,,,,,,,
36,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,neutral,other,conventional,rainfed,non-legume,-0.006042314,0.008592715,,,,,,,,
37,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,neutral,other,conventional,rainfed,non-legume,0.062748516,0.008592715,,,,,,,,
38,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,neutral,other,conventional,rainfed,non-legume,0.025280157,0.008592715,,,,,,,,
39,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,neutral,other,conventional,rainfed,non-legume,-0.013646914,0.008592715,,,,,,,,
40,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,-0.025582791,0.008592715,,,,,,,,
41,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.001147447,0.008592715,,,,,,,,
42,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,legume,0.047093904,0.008592715,,,,,,,,
43,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.116889666,0.008592715,,,,,,,,
44,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.158895841,0.008592715,,,,,,,,
45,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.107654095,0.008592715,,,,,,,,
46,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.021579486,0.008592715,,,,,,,,
47,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.003039516,0.008592715,,,,,,,,
48,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.016604155,0.008592715,,,,,,,,
49,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,legume,0.019593694,0.008592715,,,,,,,,
50,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,-0.026215842,0.008592715,,,,,,,,
51,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.066249386,0.008592715,,,,,,,,
52,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.004555817,0.008592715,,,,,,,,
53,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,0.050455805,0.008592715,,,,,,,,
54,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,-0.025519726,0.008592715,,,,,,,,
55,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,non-legume,-0.0684306,0.008592715,,,,,,,,
56,4,Blazewicz-Wozniak,2019,HORTICULTURAL SCIENCE,4,Poland,Europe,22.93333333,51.38333333,cold,sandy,moderate,acid,other,conventional,rainfed,legume,-0.022293917,0.008592715,,,,,,,,
